id, varRNN, varRL,,Ave RNN,Ave RL
AA4O2W236E3FW,-104.5438573,-102.7310961,,,
AAR7SYLZ3MDZQ,-104.5845717,-135.5164155,,,
ABF5ENVB19SC4,-81.76644586,-67.51352088,,,
ABOM3BXRPQT02,-98.11110991,-84.68199228,,,
ABR849Y69MDQI,-81.30705929,-69.57462734,,,
AC4OHWAL2UI5E,-80.16767864,-71.36162191,,,
AC9BR5OXALJAH,-118.6571477,-145.9150085,,,
ACM7GDJASVO93,-78.35578592,-84.00457688,,,
AD3TJJF3AW5SO,-99.10944313,-83.8623148,,,
ADL6HFLKUSQOZ,-102.7855502,-117.9090413,,,
AE363E5ESWSXJ,-80.01397233,-74.59625077,,,
AEQT4MJIZFCZ4,-119.7310131,-100.6081015,,,
AET7NEH3VZ0V9,-87.16486335,-90.95203764,,,
AEUTD1DUJTF2I,-126.3371065,-131.3429529,,,
AEXA1CPBHT85H,-88.20486918,-68.07238818,,,
AF2RVFRGP7GXX,-117.4178194,-146.6509154,,,
AFSI4GMXWKC2U,-114.2468464,-134.1498779,,,
AG8PCITDPLLKU,-98.54700486,-66.66440568,,,
AGHI2V890A0OH,-97.17667534,-87.30529188,,,
AH4GIBPZ4N1VO,-112.2824564,-120.970277,,,
AH4KZU52G2WCN,-89.18012335,-78.44431611,,,
AHA51EIEEVTPE,-74.28723472,-71.16340208,,,
AHEV3HZNQPO5S,-81.89586864,-82.06852404,,,
AI0K2LZWV73MB,-112.2586813,-102.4257949,,,
AIGUTKZMZ9LNR,-78.90081644,-75.32064223,,,
AIS4X2NYY3V1T,-96.54613615,-91.13995157,,,
AIZUOHKQT14OM,-131.8386122,-145.1376871,,,
AJ5P0SBP4GFY1,-105.9024619,-106.1456916,,,
AJNQ2PBD07FKE,-86.31104643,-80.73242062,,,
AJQGWGESKQT4Y,-95.01811352,-87.24441869,,,
AJTPDPN27UCUS,-74.17141933,-67.65052793,,,
AK5LNLWKVISPI,-103.7992393,-102.9550316,,,
AKMQH2MGTUWO9,-109.5168196,-111.0669665,,,
ALDQRWYZ8KQ9A,-89.48976161,-60.71989008,,,
ALQEVX2DSDWEQ,-73.63380911,-66.01846524,,,
ALRRK4B0VPPQ2,-87.0700166,-74.40348479,,,
AMA18W8F60Y2J,-86.57302491,-72.63208468,,,
AMHVH9MFHO5DE,-109.9561889,-124.100852,,,
ANCCKNF1DKRZO,-119.6039046,-108.7138937,,,
ANINMMEAWLK7B,-90.7206829,-81.20563665,,,
ANV3ZKKIO6IF6,-109.0970125,-102.4962644,,,
ANVEC4QSKNJLF,-96.66353544,-94.97208616,,,
AODANWH0HK3JK,-104.5639876,-140.4188806,,,
AOEO9ZV81R0I4,-112.06806,-100.7087287,,,
AP6WTJVPDJQPK,-81.61607631,-71.27533312,,,
APKTDTD9LK539,-96.29212966,-82.70325642,,,
APNVMR8JR1HSV,-84.06885615,-78.75093075,,,
APP89UTQL2CHZ,-102.355235,-124.015762,,,
APW4V8CE0TX6O,-100.1715487,-86.7640456,,,
AQ9CUPOYWCR7F,-98.25320675,-86.45649672,,,
AQGAWYR5DBRCP,-102.6489251,-99.18365264,,,
AQKPTR00R0X67,-82.3078289,-71.8171854,,,
AQXRHIMQ7UK7O,-77.33093273,-76.95627399,,,
AR14VE5BQFLKT,-108.6580903,-131.2385744,,,
ARJUW4XQOJNJR,-105.7538071,-107.1625646,,,
ARX6TEDA5Q0DB,-83.65861846,-77.72088771,,,
AS1KP4SMNONQC,-109.5114554,-112.5507922,,,
AS56NGGEVTZIX,-83.75547357,-83.3731386,,,
ASE79VYZNLPVD,-78.90294442,-71.25679372,,,
ATHFMB8TXGNQD,-113.1646838,-123.4327827,,,
ATJVY9O4CY5EX,-74.83090837,-65.70556943,,,
AU1DRUXNBAJ16,-106.9595614,-96.33390128,,,
AU954O2L5LLGJ,-85.15064582,-74.50746183,,,
AUD7TLZZGCN7W,-83.00870749,-67.96274917,,,
AUS42DYFLEAXL,-80.51226271,-86.47598505,,,
AV7OKGJ2PJO30,-118.8585941,-144.7353078,,,
AV8GCOTWEB6MP,-117.1199131,-134.6636465,,,
AVEUV5HGMBAQA,-86.08703109,-73.84440907,,,
AVIPOL2XSM41P,-79.41155794,-82.51184345,,,
AVJ7MQZ6AQF5M,-67.9894988,-61.97393493,,,
AWB4J1GY0YL1J,-96.20240947,-87.14145099,,,
AWHHFZC0BCNVF,-110.0352555,-129.7514771,,,
AWKUOA7M4P8YI,-103.5374012,-115.841938,,,
AWN8RYDU3FO9E,-99.24784655,-114.4349747,,,
AWP6CD7XCNSSU,-96.08721961,-123.9979372,,,
AWVLT2L5AP873,-97.4051291,-97.38361421,,,
AWYJAKECMVVUX,-94.82577163,-97.02353982,,,
AXOJ3M1TZ7ZWI,-93.2346271,-72.14285047,,,
AY7WPVKHVNBLG,-93.23124342,-86.31772687,,,
AYIFHDQSXQJ6B,-104.8244558,-94.34540677,,,
AYRJKBYXBBMCJ,-103.9295921,-106.8480871,,,
